start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
14.393749206349206,15.531526984126984,72,106,1
13.753916553287983,14.393749206349206,74,104,1
13.09214784580499,13.765526530612245,72,101,1
12.441989115646258,13.09214784580499,76,102,1
12.279449433106576,12.441989115646258,77,104,1
11.802156462585035,12.279449433106576,77,110,1
11.140387755102042,11.813766439909298,69,98,1
10.478619047619048,11.151997732426304,71,99,1
10.316079365079366,10.478619047619048,72,99,1
9.82717641723356,10.316079365079366,72,105,1
9.165407709750566,9.838786394557824,76,105,1
8.526858956916099,9.223457596371881,79,102,1
8.526858956916099,8.991258049886621,67,53,1
8.364319274376417,8.526858956916099,79,28,0
8.364319274376417,8.526858956916099,67,99,1
7.875416326530613,8.364319274376417,67,105,1
6.575098866213152,7.805756462585034,72,89,1
5.923656235827664,6.575098866213152,74,106,1
5.273497505668934,5.958486167800453,67,98,1
4.611728798185941,5.273497505668934,69,94,-5
4.449189115646258,4.925198185941043,67,70,1
3.9718961451247163,4.449189115646258,67,108,1
2.64835873015873,3.890626303854875,71,85,1
1.9981999999999998,2.64835873015873,72,102,1
1.3467573696145125,2.044639909297052,67,100,1
0.6965986394557823,1.3583673469387756,69,97,-5
0.5340589569160997,0.9984580498866213,67,71,1
0.046439909297052155,0.5340589569160997,67,108,1